BIP typbeteckningar — entries with BSABe set
========================================================================
Source: https://storage.googleapis.com/storage.infopack.io/bim-alliance/bipkoder-data/latest/typbeteckningar.json
Generated: 2026-05-26
Count: 239

Discipline	Category	TypeID	underkategori	BSABe	BSABwr

Bygg	Bärverk	BBxx	Balk, betong	27.E/31	GSC.4
Bygg	Inre rumsbildande byggdelar	BExx	Beläggningar och beklädnader på väggyta	44.C	M
Bygg	Klimatskiljande delar och kompletteringar	BJLTxx	Terrassbjälklag	41.C	GS
Bygg	Bärverk	BJLxx	Bjälklag	27.F	GS
Bygg	Bärverk	BLxx	Balk, limträ	27.E/35	GSN.2
Bygg	Huskomplettering	BPxx	Balkongplatta	45.BB	GS
Bygg	Bärverk	BSxx	Balk, stål	27.E/34	GSM.1
Bygg	Bärverk	BTxx	Balk, element av trä	27.E/35	GSN.1
Bygg	Bärverk	Bxx	Balk	27.E	GS
Bygg	Öppningskomplettering	DAxx	Dörr, aluminium	43.CCE	NSC.2213
Bygg	Rumskomplettering	DFxx	Dörrfoder	46.Z	NSC.71
Bygg	Öppningskomplettering	DSxx	Dörr, stål	43.CCE	NSC.221
Bygg	Öppningskomplettering	DTxx	Dörr, trä	43.CCE	NSC.222
Bygg	Öppningskomplettering	Dxx	Dörr	43.CCE	NSC.22
Bygg	Rumskomplettering	FBxx	Fönsterbänkar	46.Z	NSC.72
Bygg	Öppningskomplettering	FDxx	Fönsterdörr	42.DB	NSC.11
Bygg	Rumskomplettering	FFDxx	Fönsterfoder	46.Z	NSC.71
Bygg	Öppningskomplettering	FFxx	Fönster, fast, ej öppningsbart	42.DB	NSC.11
Bygg	Öppningskomplettering	FLxx	Fönster, funktion röklucka	42.DB	NSC.2535
Bygg	Öppningskomplettering	FOxx	Fönster, öppningsbart	42.DB	NSC.11
Bygg	Grundkonstruktioner	FUxx	Fundament	15.ST	ESE
Bygg	Öppningskomplettering	Fxx	Fönster	42.DB	NSC.11
Bygg	Grundkonstruktioner	GBxx	Grundbalk, kantbalk	15.SJ	ESE
Bygg	Öppningskomplettering	GFxx	Fasadgaller	42.Z	NSC.74
Bygg	Kompletteringar till yttertak	GLSKxx	Glidskydd, stege	41.FD	NSJ
Bygg	Grundkonstruktioner	GMxx	Grundmur	15.SK	ESE
Bygg	Öppningskomplettering	GPAxx	Glasparti, aluminium	43.CCD	NSC.1313
Bygg	Grundkonstruktioner	GPLxx	Grundplatta	15.SG	ESE
