code	title_sv	parent	depth	breadcrumb	table
0	SAMMANSATTA BYGGDELAR OCH INSTALLATIONSSYSTEM		0	0 SAMMANSATTA BYGGDELAR OCH INSTALLATIONSSYSTEM	byggdel
01	SAMMANSATTA BYGGDELAR	0	0	0 SAMMANSATTA BYGGDELAR OCH INSTALLATIONSSYSTEM > 01 SAMMANSATTA BYGGDELAR	byggdel
01.S	Sammansatta byggdelar i hus	01	1	0 SAMMANSATTA BYGGDELAR OCH INSTALLATIONSSYSTEM > 01 SAMMANSATTA BYGGDELAR > 01.S Sammansatta byggdelar i hus	byggdel
01.SB	Innerväggar, sammansatta	01.S	1	0 SAMMANSATTA BYGGDELAR OCH INSTALLATIONSSYSTEM > 01 SAMMANSATTA BYGGDELAR > 01.S Sammansatta byggdelar i hus > 01.SB Innerväggar, sammansatta	byggdel
01.SC	Ytterväggar, sammansatta	01.S	1	0 SAMMANSATTA BYGGDELAR OCH INSTALLATIONSSYSTEM > 01 SAMMANSATTA BYGGDELAR > 01.S Sammansatta byggdelar i hus > 01.SC Ytterväggar, sammansatta	byggdel
01.SC/31	Ytterväggar, sammansatta – element av betong	01.S	2	0 SAMMANSATTA BYGGDELAR OCH INSTALLATIONSSYSTEM > 01 SAMMANSATTA BYGGDELAR > 01.S Sammansatta byggdelar i hus > 01.SC/31 Ytterväggar, sammansatta – element av betong	byggdel
01.SC/35	Ytterväggar, sammansatta – element av trä eller träbaserat material	01.S	2	0 SAMMANSATTA BYGGDELAR OCH INSTALLATIONSSYSTEM > 01 SAMMANSATTA BYGGDELAR > 01.S Sammansatta byggdelar i hus > 01.SC/35 Ytterväggar, sammansatta – element av trä eller träbaserat material	byggdel
01.SF	Bjälklag, sammansatta	01.S	1	0 SAMMANSATTA BYGGDELAR OCH INSTALLATIONSSYSTEM > 01 SAMMANSATTA BYGGDELAR > 01.S Sammansatta byggdelar i hus > 01.SF Bjälklag, sammansatta	byggdel
01.SG	Yttertak och ytterbjälklag, sammansatta	01.S	1	0 SAMMANSATTA BYGGDELAR OCH INSTALLATIONSSYSTEM > 01 SAMMANSATTA BYGGDELAR > 01.S Sammansatta byggdelar i hus > 01.SG Yttertak och ytterbjälklag, sammansatta	byggdel
01.SH	Trappor, sammansatta	01.S	1	0 SAMMANSATTA BYGGDELAR OCH INSTALLATIONSSYSTEM > 01 SAMMANSATTA BYGGDELAR > 01.S Sammansatta byggdelar i hus > 01.SH Trappor, sammansatta	byggdel
01.SJ	Balkonger, sammansatta	01.S	1	0 SAMMANSATTA BYGGDELAR OCH INSTALLATIONSSYSTEM > 01 SAMMANSATTA BYGGDELAR > 01.S Sammansatta byggdelar i hus > 01.SJ Balkonger, sammansatta	byggdel
01.SK	Loftgångar, sammansatta	01.S	1	0 SAMMANSATTA BYGGDELAR OCH INSTALLATIONSSYSTEM > 01 SAMMANSATTA BYGGDELAR > 01.S Sammansatta byggdelar i hus > 01.SK Loftgångar, sammansatta	byggdel
01.SL	Lastkajer, sammansatta	01.S	1	0 SAMMANSATTA BYGGDELAR OCH INSTALLATIONSSYSTEM > 01 SAMMANSATTA BYGGDELAR > 01.S Sammansatta byggdelar i hus > 01.SL Lastkajer, sammansatta	byggdel
01.SZ	Övriga sammansatta byggdelar i hus	01.S	1	0 SAMMANSATTA BYGGDELAR OCH INSTALLATIONSSYSTEM > 01 SAMMANSATTA BYGGDELAR > 01.S Sammansatta byggdelar i hus > 01.SZ Övriga sammansatta byggdelar i hus	byggdel
1	UNDERGRUND, UNDERBYGGNAD, SKYDDANDE LAGER I MARK, GRUNDKONSTRUKTIONER OCH STÖDKONSTRUKTIONER		0	1 UNDERGRUND, UNDERBYGGNAD, SKYDDANDE LAGER I MARK, GRUNDKONSTRUKTIONER OCH STÖDKONSTRUKTIONER	byggdel
13	LAGER I MARK FÖR SKYDD AV BYGGNADSVERK	1	0	1 UNDERGRUND, UNDERBYGGNAD, SKYDDANDE LAGER I MARK, GRUNDKONSTRUKTIONER OCH STÖDKONSTRUKTIONER > 13 LAGER I MARK FÖR SKYDD AV BYGGNADSVERK	byggdel
13.G	Termisk isolering i mark för skydd av byggnadsverk	13	1	1 UNDERGRUND, UNDERBYGGNAD, SKYDDANDE LAGER I MARK, GRUNDKONSTRUKTIONER OCH STÖDKONSTRUKTIONER > 13 LAGER I MARK FÖR SKYDD AV BYGGNADSVERK > 13.G Termisk isolering i mark för skydd av byggnadsverk	byggdel
