code	title_sv	parent	depth	breadcrumb	table
A	SAMMANSATTA PRODUKTIONSRESULTAT		0	A SAMMANSATTA PRODUKTIONSRESULTAT	produktionsresultat
B	FÖRARBETEN, HJÄLPARBETEN, SANERINGSARBETEN, LYTTNING, DEMONTERING, RIVNING, RÖJNING M M		0	B FÖRARBETEN, HJÄLPARBETEN, SANERINGSARBETEN, LYTTNING, DEMONTERING, RIVNING, RÖJNING M M	produktionsresultat
BB	FÖRARBETEN	B	0	B FÖRARBETEN, HJÄLPARBETEN, SANERINGSARBETEN, LYTTNING, DEMONTERING, RIVNING, RÖJNING M M > BB FÖRARBETEN	produktionsresultat
BBB	UTFÖRDA UNDERSÖKNINGAR O D	BB	0	B FÖRARBETEN, HJÄLPARBETEN, SANERINGSARBETEN, LYTTNING, DEMONTERING, RIVNING, RÖJNING M M > BB FÖRARBETEN > BBB UTFÖRDA UNDERSÖKNINGAR O D	produktionsresultat
BBB.4	Utförda undersökningar av hus	BBB	1	B FÖRARBETEN, HJÄLPARBETEN, SANERINGSARBETEN, LYTTNING, DEMONTERING, RIVNING, RÖJNING M M > BB FÖRARBETEN > BBB UTFÖRDA UNDERSÖKNINGAR O D > BBB.4 Utförda undersökningar av hus	produktionsresultat
BBC	UNDERSÖKNINGAR O D	BB	0	B FÖRARBETEN, HJÄLPARBETEN, SANERINGSARBETEN, LYTTNING, DEMONTERING, RIVNING, RÖJNING M M > BB FÖRARBETEN > BBC UNDERSÖKNINGAR O D	produktionsresultat
BBC.4	Undersökningar av hus	BBC	1	B FÖRARBETEN, HJÄLPARBETEN, SANERINGSARBETEN, LYTTNING, DEMONTERING, RIVNING, RÖJNING M M > BB FÖRARBETEN > BBC UNDERSÖKNINGAR O D > BBC.4 Undersökningar av hus	produktionsresultat
BBD	INMÄTNINGAR	BB	0	B FÖRARBETEN, HJÄLPARBETEN, SANERINGSARBETEN, LYTTNING, DEMONTERING, RIVNING, RÖJNING M M > BB FÖRARBETEN > BBD INMÄTNINGAR	produktionsresultat
BBD.4	Inmätning av hus	BBD	1	B FÖRARBETEN, HJÄLPARBETEN, SANERINGSARBETEN, LYTTNING, DEMONTERING, RIVNING, RÖJNING M M > BB FÖRARBETEN > BBD INMÄTNINGAR > BBD.4 Inmätning av hus	produktionsresultat
BBE	UTSÄTTNINGAR	BB	0	B FÖRARBETEN, HJÄLPARBETEN, SANERINGSARBETEN, LYTTNING, DEMONTERING, RIVNING, RÖJNING M M > BB FÖRARBETEN > BBE UTSÄTTNINGAR	produktionsresultat
BBE.2	Utsättning för uppförande av hus	BBE	1	B FÖRARBETEN, HJÄLPARBETEN, SANERINGSARBETEN, LYTTNING, DEMONTERING, RIVNING, RÖJNING M M > BB FÖRARBETEN > BBE UTSÄTTNINGAR > BBE.2 Utsättning för uppförande av hus	produktionsresultat
BC	HJÄLPARBETEN, TILLFÄLLIGA ANORDNINGAR OCH ÅTGÄRDER M M	B	0	B FÖRARBETEN, HJÄLPARBETEN, SANERINGSARBETEN, LYTTNING, DEMONTERING, RIVNING, RÖJNING M M > BC HJÄLPARBETEN, TILLFÄLLIGA ANORDNINGAR OCH ÅTGÄRDER M M	produktionsresultat
BCS	HJÄLPARBETEN FÖR HUS	BC	0	B FÖRARBETEN, HJÄLPARBETEN, SANERINGSARBETEN, LYTTNING, DEMONTERING, RIVNING, RÖJNING M M > BC HJÄLPARBETEN, TILLFÄLLIGA ANORDNINGAR OCH ÅTGÄRDER M M > BCS HJÄLPARBETEN FÖR HUS	produktionsresultat
BCS.1	Skyddsanordningar vid arbete för hus	BCS	1	B FÖRARBETEN, HJÄLPARBETEN, SANERINGSARBETEN, LYTTNING, DEMONTERING, RIVNING, RÖJNING M M > BC HJÄLPARBETEN, TILLFÄLLIGA ANORDNINGAR OCH ÅTGÄRDER M M > BCS HJÄLPARBETEN FÖR HUS > BCS.1 Skyddsanordningar vid arbete för hus	produktionsresultat
BCS.11	Väderskyddsanordningar vid arbete för hus	BCS.1	1	B FÖRARBETEN, HJÄLPARBETEN, SANERINGSARBETEN, LYTTNING, DEMONTERING, RIVNING, RÖJNING M M > BC HJÄLPARBETEN, TILLFÄLLIGA ANORDNINGAR OCH ÅTGÄRDER M M > BCS HJÄLPARBETEN FÖR HUS > BCS.1 Skyddsanordningar vid arbete för hus > BCS.11 Väderskyddsanordningar vid arbete för hus	produktionsresultat
BCS.2	Åtgärder för mätpunkt e d för hus	BCS	1	B FÖRARBETEN, HJÄLPARBETEN, SANERINGSARBETEN, LYTTNING, DEMONTERING, RIVNING, RÖJNING M M > BC HJÄLPARBETEN, TILLFÄLLIGA ANORDNINGAR OCH ÅTGÄRDER M M > BCS HJÄLPARBETEN FÖR HUS > BCS.2 Åtgärder för mätpunkt e d för hus	produktionsresultat
